
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.13.4, running with linear solver ma86.

Number of nonzeros in equality constraint Jacobian...:    41065
Number of nonzeros in inequality constraint Jacobian.:     5776
Number of nonzeros in Lagrangian Hessian.............:    20537

Total number of variables............................:     8982
                     variables with only lower bounds:      998
                variables with lower and upper bounds:     4195
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5878
Total number of inequality constraints...............:     2394
        inequality constraints with only lower bounds:      400
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1994

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 188r 6.1750020e+06 5.43e-01 5.71e+02  -0.5 1.21e+00   1.2 5.57e-01 2.93e-01f  1
 189r 6.1713143e+06 5.13e-01 5.37e+02  -0.5 2.41e+01   0.7 3.77e-02 5.47e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190r 6.1697440e+06 3.38e-01 7.70e+02  -0.5 2.98e-01   2.1 1.00e+00 3.40e-01f  1
 191r 6.1680597e+06 7.98e-01 5.36e+02  -0.5 5.89e+00   1.6 1.24e-01 1.36e-01f  1
 192r 6.1680249e+06 7.98e-01 3.15e+03  -0.5 6.99e+01   1.1 2.24e-03 2.64e-04f  1
 193r 6.1654525e+06 7.77e-01 3.04e+03  -0.5 3.21e+00   0.6 2.96e-02 3.43e-02f  1
 194r 6.1621166e+06 6.98e-01 2.31e+03  -0.5 7.18e-01   1.1 6.19e-01 1.02e-01f  1
 195r 6.1555692e+06 6.15e-01 2.04e+03  -0.5 6.66e+00   0.6 1.09e-01 1.19e-01f  1
 196r 6.1505733e+06 5.00e-01 1.60e+03  -0.5 2.86e+00   1.0 3.70e-01 1.88e-01f  1
 197r 6.1433110e+06 3.69e-01 5.85e+02  -0.5 1.16e+00   1.4 1.00e+00 6.35e-01f  1
 198r 6.1413914e+06 5.83e-01 2.74e+02  -0.5 1.29e+00   1.9 3.86e-01 4.45e-01f  1
 199r 6.1347337e+06 2.63e-01 3.91e+02  -0.5 3.34e-01   1.4 1.00e+00 6.03e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200r 6.1314359e+06 2.65e-01 4.96e+02  -0.5 2.53e+01   0.9 9.12e-03 3.24e-02f  1
 201r 6.1314035e+06 2.55e-01 7.81e+02  -0.5 3.40e-01   2.2 1.34e-01 9.52e-02f  1
 202r 6.1306953e+06 2.56e-01 5.23e+02  -0.5 2.67e-01   1.8 1.22e-01 2.15e-01f  1
 203r 6.1303828e+06 2.56e-01 2.99e+02  -0.5 1.62e-01   2.2 3.58e-01 4.14e-01f  1
 204r 6.1297641e+06 2.56e-01 3.74e+02  -0.5 9.07e-01   1.7 2.25e-01 1.37e-01f  1
 205r 6.1227984e+06 2.56e-01 2.67e+02  -0.5 8.96e-01   1.2 2.73e-01 5.96e-01f  1
 206r 6.1227374e+06 2.56e-01 1.32e+03  -0.5 7.64e-02   2.6 5.51e-01 1.27e-01f  1
 207r 6.1221780e+06 2.56e-01 3.84e+02  -0.5 1.67e-01   2.1 8.87e-01 3.54e-01f  1
 208r 6.1174041e+06 2.56e-01 7.72e+02  -0.5 4.39e-01   1.6 5.58e-01 1.00e+00f  1
 209r 6.1160261e+06 2.56e-01 2.18e+02  -0.5 2.29e-01   2.0 1.00e+00 7.45e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210r 6.1143941e+06 5.92e-01 3.46e+02  -0.5 2.86e+00   1.6 3.87e-01 3.23e-01f  1
 211r 6.1142362e+06 5.42e-01 1.51e+03  -0.5 2.41e-01   2.0 5.94e-01 8.43e-02f  1
 212r 6.1125647e+06 3.76e-01 6.94e+02  -0.5 4.79e-01   1.5 5.87e-01 3.08e-01f  1
 213r 6.1104897e+06 2.52e-01 2.68e+02  -0.5 1.94e-01   1.9 8.31e-01 1.00e+00f  1
 214r 6.1050521e+06 2.47e-01 8.95e+02  -0.5 3.47e-01   1.5 6.05e-01 1.00e+00f  1
 215r 6.1044303e+06 2.47e-01 8.65e+02  -0.5 3.50e-01   1.9 7.90e-01 2.94e-01f  1
 216r 6.1007120e+06 2.49e-01 4.53e+02  -0.5 7.05e-01   1.4 3.69e-01 6.94e-01f  1
 217r 6.1006529e+06 2.49e-01 1.61e+03  -0.5 1.63e-01   1.8 2.65e-01 3.03e-02f  1
 218r 6.0994385e+06 2.51e-01 1.31e+03  -0.5 1.27e+00   1.3 1.52e-01 2.23e-01f  1
 219r 6.0992531e+06 2.51e-01 1.46e+03  -0.5 1.09e+00   1.8 4.51e-01 7.63e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220r 6.0977496e+06 2.54e-01 1.12e+03  -0.5 1.06e+00   1.3 2.02e-01 2.88e-01f  1
 221r 6.0974665e+06 2.54e-01 1.51e+03  -0.5 9.89e-01   1.7 7.84e-01 1.20e-01f  1
 222r 6.0960771e+06 3.60e-01 1.25e+03  -0.5 2.35e+00   1.2 1.10e-01 2.73e-01f  1
 223r 6.0959860e+06 3.45e-01 1.46e+03  -0.5 1.41e+00   1.7 2.04e-01 4.36e-02f  1
 224r 6.0957066e+06 2.60e-01 6.93e+02  -0.5 3.11e-01   2.1 8.09e-01 4.34e-01f  1
 225r 6.0954886e+06 2.61e-01 5.69e+02  -0.5 1.19e-01   2.5 6.17e-01 1.00e+00f  1
 226r 6.0954046e+06 2.62e-01 5.38e+02  -0.5 6.01e-01   2.0 4.44e-01 9.76e-02f  1
 227r 6.0951307e+06 2.64e-01 4.75e+02  -0.5 1.78e+00   1.6 3.52e-02 1.15e-01f  1
 228r 6.0942676e+06 2.67e-01 8.73e+01  -0.5 1.47e-01   2.0 1.00e+00 9.13e-01f  1
 229r 6.0939792e+06 2.70e-01 4.66e+02  -0.5 6.04e-01   1.5 3.91e-01 1.63e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230r 6.0931211e+06 2.76e-01 3.54e+02  -0.5 1.52e-01   1.9 5.60e-01 9.45e-01f  1
 231r 6.0927733e+06 2.78e-01 1.00e+03  -0.5 9.63e-01   1.5 1.83e-01 4.13e-02f  1
 232r 6.0917518e+06 2.86e-01 1.95e+02  -0.5 1.73e-01   1.9 6.63e-01 7.77e-01f  1
 233r 6.0916986e+06 2.87e-01 7.13e+02  -0.5 1.17e+00   1.4 1.58e-01 4.42e-02f  1
 234r 6.0913185e+06 2.94e-01 1.03e+02  -0.5 2.10e-01   1.8 5.26e-01 6.98e-01f  1
 235r 6.0906412e+06 2.96e-01 1.09e+02  -0.5 2.34e+00   1.4 8.62e-02 6.31e-02f  1
 236r 6.0904543e+06 2.97e-01 1.33e+03  -0.5 2.65e-01   1.8 3.76e-01 8.79e-02f  1
 237r 6.0903223e+06 2.97e-01 1.33e+03  -0.5 1.05e+03   1.3 1.37e-04 1.24e-04f  1
 238r 6.0892845e+06 3.01e-01 7.48e+02  -0.5 2.87e-01   1.7 4.43e-01 3.56e-01f  1
 239r 6.0887601e+06 3.03e-01 4.08e+02  -0.5 9.44e-02   2.2 6.45e-01 5.57e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240r 6.0876542e+06 3.05e-01 5.60e+02  -0.5 3.55e-01   1.7 5.77e-01 2.56e-01f  1
 241r 6.0868328e+06 3.07e-01 2.26e+02  -0.5 1.23e-01   2.1 1.00e+00 6.90e-01f  1
 242r 6.0856613e+06 3.09e-01 4.83e+02  -0.5 5.41e-01   1.6 5.21e-01 2.35e-01f  1
 243r 6.0846921e+06 3.11e-01 3.20e+02  -0.5 1.86e-01   2.1 9.44e-01 6.52e-01f  1
 244r 6.0835560e+06 3.13e-01 3.04e+02  -0.5 2.24e+00   1.6 8.79e-02 1.83e-01f  1
 245r 6.0835622e+06 3.14e-01 3.01e+02  -0.5 1.53e+01   2.0 1.06e-02 7.53e-03f  1
 246r 6.0833123e+06 3.14e-01 3.92e+02  -0.5 3.92e+00   1.5 1.55e-01 2.52e-02f  1
 247r 6.0818104e+06 3.16e-01 3.69e+02  -0.5 1.42e-01   2.0 9.78e-01 6.51e-01f  1
 248r 6.0803714e+06 3.16e-01 3.23e+02  -0.5 1.05e+00   1.5 1.18e-01 1.12e-01f  1
 249r 6.0788952e+06 3.17e-01 4.48e+02  -0.5 1.67e-01   1.9 9.12e-01 5.74e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250r 6.0771627e+06 3.17e-01 2.82e+02  -0.5 7.17e-01   1.4 3.63e-01 3.85e-01f  1
 251r 6.0763574e+06 3.17e-01 2.11e+01  -0.5 2.82e-01   1.9 1.00e+00 1.00e+00f  1
 252r 6.0763050e+06 3.17e-01 2.69e+01  -0.5 1.37e-01   2.3 1.00e+00 1.00e+00f  1
 253r 6.0762536e+06 3.18e-01 4.08e+01  -0.5 2.01e+00   1.8 8.15e-02 1.05e-01f  1
 254r 6.0760198e+06 3.17e-01 1.17e+02  -0.5 2.36e-01   2.2 1.00e+00 8.51e-01f  1
 255r 6.0755560e+06 3.17e-01 3.53e+02  -0.5 5.48e-01   1.8 5.19e-01 8.93e-01f  1
 256r 6.0756752e+06 3.17e-01 2.66e+02  -0.5 3.10e-01   2.2 4.57e-01 6.06e-01f  1
 257r 6.0757026e+06 3.17e-01 5.56e+02  -0.5 1.21e-01   2.6 1.00e+00 4.15e-01f  1
 258r 6.0758385e+06 3.17e-01 3.83e+02  -0.5 5.10e-01   2.1 7.66e-01 5.23e-01f  1
 259r 6.0758705e+06 3.17e-01 2.99e+02  -0.5 1.95e-01   2.6 5.10e-01 2.89e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260r 6.0759158e+06 3.16e-01 3.52e+02  -0.5 7.93e-01   2.1 3.63e-01 2.42e-01f  1
 261r 6.0759201e+06 3.16e-01 3.90e+02  -0.5 1.39e+00   1.6 2.70e-01 1.39e-02f  1
 262r 6.0759553e+06 3.15e-01 6.53e+02  -0.5 2.21e-01   2.0 8.50e-01 3.77e-01f  1
 263r 6.0765150e+06 3.13e-01 5.80e+02  -0.5 3.87e-01   1.6 4.32e-01 2.20e-01f  1
 264r 6.0775101e+06 3.14e-01 2.63e+03  -0.5 6.02e-02   2.0 3.31e-01 1.00e+00f  1
 265r 6.0788805e+06 3.13e-01 2.19e+03  -0.5 3.78e-01   1.5 4.51e-01 1.94e-01f  1
 266r 6.0807846e+06 3.11e-01 2.13e+01  -0.5 1.02e-01   1.9 1.00e+00 1.00e+00f  1
 267r 6.0834220e+06 3.95e-01 2.38e+01  -0.5 6.38e-01   1.5 2.51e-01 2.40e-01f  1
 268r 6.0852404e+06 4.30e-01 2.40e+02  -0.5 1.56e-01   1.9 4.65e-01 6.57e-01f  1
 269r 6.0862516e+06 4.59e-01 5.82e+03  -0.5 5.38e-02   2.3 2.41e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270r 6.0890937e+06 4.80e-01 4.63e+01  -0.5 1.78e-01   1.8 1.00e+00 9.94e-01f  1
 271r 6.0898988e+06 4.35e-01 2.88e+02  -0.5 8.17e-02   2.3 1.00e+00 7.64e-01f  1
 272r 6.0916904e+06 4.76e-01 2.72e+02  -0.5 3.82e-01   1.8 3.30e-01 5.81e-01f  1
 273r 6.0950525e+06 5.00e-01 3.12e+02  -0.5 2.40e-01   1.3 2.23e-01 3.94e-01f  1
 274r 6.0994357e+06 5.44e-01 3.25e+02  -0.5 6.71e-01   0.8 1.67e-01 2.07e-01f  1
 275r 6.1061292e+06 5.96e-01 7.89e+02  -0.5 6.19e+00   0.3 3.90e-02 1.16e-01f  1
 276r 6.1087594e+06 6.85e-01 6.86e+02  -0.5 2.64e+00   0.8 1.30e-01 1.28e-01f  1
 277r 6.1143507e+06 6.89e-01 7.68e+02  -0.5 2.33e+00   0.3 3.34e-01 1.47e-01f  1
 278r 6.1194553e+06 6.87e-01 6.37e+02  -0.5 1.44e+01  -0.2 6.42e-03 4.87e-02f  1
 279r 6.1369139e+06 6.29e-01 1.56e+03  -0.5 2.35e+00   0.2 1.52e-01 4.16e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280r 6.1370085e+06 6.08e-01 1.89e+03  -0.5 7.26e-01   1.6 8.82e-02 1.73e-01f  1
 281r 6.1367195e+06 6.01e-01 1.32e+03  -0.5 7.81e-02   2.9 3.08e-01 2.98e-01f  1
 282r 6.1366503e+06 5.71e-01 1.10e+03  -0.5 7.44e-01   2.4 1.19e-01 1.78e-01f  1
 283r 6.1361674e+06 4.51e-01 1.40e+02  -0.5 1.41e-01   2.8 9.21e-01 1.00e+00f  1
 284r 6.1362715e+06 3.49e-01 3.07e+02  -0.5 6.01e-01   2.4 3.60e-01 1.92e-01f  1
 285r 6.1362840e+06 3.46e-01 6.26e+02  -0.5 7.68e-01   1.9 7.38e-02 4.64e-03f  1
 286r 6.1369069e+06 3.25e-01 7.85e+02  -0.5 9.11e+00   1.4 3.52e-03 2.80e-02f  1
 287r 6.1377657e+06 3.02e-01 1.64e+03  -0.5 2.69e+00   1.8 7.20e-03 8.30e-02f  1
 288r 6.1377807e+06 3.02e-01 1.60e+03  -0.5 5.24e-01   2.3 1.67e-01 1.37e-02f  1
 289r 6.1379050e+06 2.99e-01 1.59e+03  -0.5 3.19e+00   1.8 7.76e-03 1.09e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290r 6.1379790e+06 2.98e-01 1.64e+03  -0.5 2.30e+00   1.3 1.67e-01 1.06e-02f  1
 291r 6.1383869e+06 2.97e-01 1.24e+03  -0.5 5.20e-01   1.7 4.63e-01 2.10e-01f  1
 292r 6.1398631e+06 2.95e-01 9.30e+02  -0.5 1.45e+00   1.3 3.38e-01 2.50e-01f  1
 293r 6.1402247e+06 2.95e-01 7.69e+02  -0.5 4.56e-01   1.7 4.06e-01 1.75e-01f  1
 294r 6.1410069e+06 2.95e-01 7.83e+02  -0.5 1.34e+00   1.2 4.75e-01 1.28e-01f  1
 295r 6.1431907e+06 2.86e-01 7.68e+02  -0.5 1.23e+01   0.7 7.68e-02 5.91e-02f  1
 296r 6.1459348e+06 2.92e-01 7.94e+02  -0.5 3.81e-01   1.2 8.58e-01 4.62e-01f  1
 297r 6.1614938e+06 3.05e-01 1.76e+02  -0.5 1.21e+00   0.7 6.09e-01 1.00e+00f  1
 298r 6.1676616e+06 3.07e-01 2.44e+02  -0.5 1.97e+00   0.2 6.28e-01 2.59e-01f  1
 299r 6.1903321e+06 2.81e-01 1.19e+02  -0.5 4.24e+00  -0.3 4.31e-01 4.90e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300r 6.1943075e+06 2.73e-01 1.10e+02  -0.5 9.76e+00  -0.7 9.85e-02 8.35e-02f  1
 301r 6.1987855e+06 2.63e-01 1.03e+02  -0.5 1.90e+01    -  4.07e-02 5.88e-02f  1
 302r 6.2040747e+06 2.47e-01 9.61e+01  -0.5 1.19e+01    -  1.22e-01 7.51e-02f  1
 303r 6.2106301e+06 2.26e-01 8.68e+01  -0.5 1.08e+01    -  9.23e-02 9.65e-02f  1
 304r 6.2115784e+06 2.20e-01 2.34e+02  -0.5 7.30e+00  -0.3 6.35e-01 7.84e-02f  1
 305r 6.2200664e+06 1.76e-01 1.92e+02  -0.5 8.96e+00    -  1.80e-01 1.70e-01f  1
 306r 6.2125762e+06 3.75e-01 1.20e+02  -0.5 5.84e+00    -  8.85e-01 5.46e-01f  1
 307r 6.2023012e+06 1.42e-01 4.20e+00  -0.5 6.27e+00    -  1.00e+00 1.00e+00f  1
 308r 5.6496664e+06 1.71e-01 1.15e+01  -1.2 1.10e+00    -  8.62e-01 8.75e-01f  1
 309r 5.5941665e+06 1.23e-01 2.56e+02  -1.2 5.61e+00    -  1.00e+00 2.53e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 310r 5.3829105e+06 5.38e-02 1.82e+01  -1.2 3.73e+00    -  1.00e+00 9.48e-01f  1
 311r 5.3690866e+06 5.35e-02 2.46e-02  -1.2 4.13e-01    -  1.00e+00 1.00e+00f  1
 312r 4.7057580e+06 6.02e-02 4.17e+01  -2.8 1.29e+00    -  7.71e-01 5.37e-01f  1
 313r 4.6529133e+06 7.17e-02 1.95e+02  -2.8 3.48e+01    -  3.32e-01 1.25e-01f  1
 314r 4.5332571e+06 9.11e-01 3.28e+02  -2.8 3.34e+01    -  3.94e-02 2.33e-01f  1
 315r 4.4542843e+06 7.62e-01 3.20e+02  -2.8 2.38e+01    -  2.10e-01 1.58e-01f  1
 316r 4.3722783e+06 5.50e-01 2.72e+02  -2.8 5.14e+01    -  1.33e-01 1.57e-01f  1
 317r 4.3624241e+06 5.39e-01 5.60e+02  -2.8 3.72e+01    -  1.40e-01 1.78e-02f  1
 318r 4.2203005e+06 3.80e-01 2.01e+02  -2.8 1.48e+01    -  5.15e-02 2.30e-01f  1
 319r 4.0711863e+06 2.41e-01 1.10e+02  -2.8 1.31e+01    -  5.65e-01 2.62e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 320r 3.9362454e+06 1.84e-01 2.93e+02  -2.8 9.46e+00    -  4.66e-01 1.85e-01f  1
 321r 3.6355901e+06 1.29e-01 1.85e+02  -2.8 8.03e+00    -  3.67e-01 3.88e-01f  1
 322r 3.3530583e+06 1.17e-01 2.00e+02  -2.8 4.65e+00    -  6.39e-01 4.60e-01f  1
 323r 3.2748866e+06 9.73e-02 1.37e+02  -2.8 2.86e+00    -  4.16e-01 1.73e-01f  1
 324r 2.8760235e+06 4.22e-02 6.81e+01  -2.8 2.06e+00    -  7.54e-01 1.00e+00f  1
 325  1.4108815e+06 7.94e-02 1.01e+02  -1.0 6.40e+03  -5.9 6.04e-03 1.51e-02f  1
 326  1.1570100e+06 9.52e-02 1.10e+02  -1.0 3.85e+03  -6.4 6.07e-02 6.71e-03f  1
 327  5.1817525e+05 1.93e+00 9.16e+01  -1.0 2.39e+03  -6.9 4.66e-02 5.62e-02f  1
 328  3.4731883e+05 2.12e+00 8.70e+01  -1.0 8.07e+02  -7.3 5.50e-02 4.83e-02f  1
 329  2.9902300e+05 2.07e+00 1.02e+02  -1.0 5.03e+02  -7.8 6.50e-02 2.78e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 330  2.6120743e+05 2.01e+00 1.22e+02  -1.0 4.94e+02  -8.3 1.05e-01 3.33e-02f  1
 331  2.2643576e+05 2.53e+00 1.23e+02  -1.0 7.33e+02  -8.8 9.62e-02 4.78e-02f  1
 332  2.0872725e+05 1.31e+01 1.19e+02  -1.0 1.79e+03  -9.2 2.76e-02 3.28e-02f  1
 333  2.0591888e+05 4.39e+01 1.19e+02  -1.0 2.20e+04  -5.2 2.75e-03 4.67e-03f  1
 334  1.9251101e+05 4.24e+01 1.15e+02  -1.0 1.13e+03  -4.8 6.87e-03 3.14e-02f  1
 335  1.8893841e+05 4.21e+01 1.14e+02  -1.0 2.24e+03  -5.3 1.27e-02 8.99e-03f  1
 336  1.8115674e+05 4.12e+01 1.18e+02  -1.0 1.17e+03  -4.8 5.94e-02 2.20e-02f  1
 337  1.5960865e+05 3.82e+01 1.16e+02  -1.0 1.24e+03  -5.3 4.71e-02 6.98e-02f  1
 338  1.2923718e+05 3.34e+01 1.31e+02  -1.0 6.34e+02  -4.9 6.95e-02 1.26e-01f  1
 339  1.2788159e+05 3.32e+01 1.94e+02  -1.0 4.86e+03  -5.4 1.95e-02 7.31e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 340  1.2276404e+05 3.22e+01 1.74e+02  -1.0 7.37e+02  -4.9 9.62e-02 3.14e-02f  1
 341  1.0482737e+05 2.82e+01 1.62e+02  -1.0 8.30e+02  -5.4 2.15e-01 1.28e-01f  1
 342  8.8885319e+04 4.60e+01 1.37e+02  -1.0 5.60e+02  -5.0 1.37e-01 1.71e-01f  1
 343  7.7945119e+04 3.78e+01 1.34e+02  -1.0 5.75e+02  -5.5 7.57e-02 1.63e-01f  1
 344  7.2473040e+04 4.81e+01 1.21e+02  -1.0 8.95e+02  -5.0 8.71e-02 1.12e-01f  1
 345  6.5043436e+04 3.85e+01 9.50e+01  -1.0 3.49e+01  -3.7 2.86e-01 1.99e-01f  1
 346  5.2719626e+04 2.01e+01 4.93e+01  -1.0 7.93e+01  -4.2 4.84e-01 4.68e-01f  1
 347  5.0993765e+04 1.67e+01 4.75e+01  -1.0 3.44e+01  -3.8 4.26e-01 1.66e-01f  1
 348  5.0043572e+04 1.48e+01 6.35e+01  -1.0 7.42e+01  -3.3 2.20e-01 1.18e-01f  1
 349  4.4365451e+04 1.21e+00 4.17e+01  -1.0 4.33e+00  -2.0 1.00e+00 9.17e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 350  4.4223694e+04 5.16e-01 2.10e+03  -1.0 4.90e+00  -2.5 4.12e-01 5.82e-01f  1
 351  4.4196220e+04 4.57e-01 2.56e+03  -1.0 2.29e+01  -3.0 1.32e-01 1.15e-01f  1
 352  4.3893528e+04 8.23e-01 2.93e+03  -1.0 6.12e+01  -3.4 4.05e-01 5.58e-01f  1
 353  4.3802028e+04 6.94e-01 7.72e+03  -1.0 3.73e+01  -3.0 1.71e-01 2.42e-01f  1
 354  4.3744011e+04 6.55e-01 1.26e+04  -1.0 6.15e+01  -3.5 3.97e-01 1.01e-01f  1
 355  4.3759464e+04 2.86e-01 1.61e+04  -1.0 5.92e+00  -2.2 1.00e+00 5.65e-01h  1
 356  4.3693503e+04 1.95e-01 7.06e+03  -1.0 5.70e+00  -2.6 8.80e-01 1.00e+00f  1
 357  4.3526642e+04 5.85e-01 6.20e+01  -1.0 1.12e+01  -3.1 1.00e+00 1.00e+00f  1
 358  4.3152538e+04 8.21e-01 1.20e+01  -1.0 2.44e+01  -3.6 1.00e+00 1.00e+00f  1
 359  4.2544726e+04 8.74e-01 3.41e+02  -1.0 4.42e+01  -4.1 1.00e+00 8.91e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 360  4.2478247e+04 2.38e-01 9.72e-01  -1.0 1.19e+01  -3.6 1.00e+00 1.00e+00f  1
 361  2.0893003e+04 6.31e+00 1.72e+02  -1.7 3.70e+01  -4.1 5.35e-01 6.82e-01f  1
 362  1.5801455e+04 3.43e+00 1.92e+01  -1.7 1.42e+01  -3.7 6.13e-01 4.64e-01f  1
 363  9.8373462e+03 3.41e-01 1.06e+00  -1.7 8.98e+00  -3.3 1.00e+00 1.00e+00f  1
 364  9.5608637e+03 3.68e+00 2.81e+01  -1.7 3.05e+01  -3.7 1.00e+00 7.20e-01h  1
 365  9.4877916e+03 4.74e-01 9.93e-01  -1.7 7.70e+00  -3.3 1.00e+00 1.00e+00h  1
 366  9.3662848e+03 3.51e-01 4.45e-01  -1.7 1.51e+01  -3.8 1.00e+00 1.00e+00h  1
 367  9.2287585e+03 3.62e+00 5.22e+01  -1.7 6.69e+01  -4.3 8.75e-01 5.82e-01h  1
 368  9.1515596e+03 7.56e-01 2.93e-01  -1.7 2.05e+01  -3.8 1.00e+00 1.00e+00h  1
 369  9.0693391e+03 5.70e+00 1.64e+00  -1.7 1.88e+02  -4.3 2.70e-01 2.54e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 370  9.0201958e+03 2.90e+00 3.01e+01  -1.7 2.16e+01  -3.9 1.00e+00 5.14e-01h  1
 371  8.8995113e+03 4.96e+00 1.59e+01  -1.7 6.49e+01  -4.4 9.83e-01 8.04e-01h  1
 372  8.8671234e+03 9.38e-01 4.05e+00  -1.7 1.88e+01  -3.9 6.40e-01 8.41e-01h  1
 373  8.8519448e+03 7.76e-01 8.02e+00  -1.7 3.42e+01  -4.4 3.45e-01 2.28e-01h  1
 374  8.8461970e+03 5.03e-01 7.39e+00  -1.7 2.36e+01  -4.0 4.88e-01 4.01e-01f  1
 375  8.7913160e+03 9.99e-01 6.24e-01  -1.7 2.93e+01  -4.5 1.00e+00 1.00e+00f  1
 376  8.7831850e+03 1.35e-01 1.84e-01  -1.7 9.08e+00  -4.1 1.00e+00 1.00e+00h  1
 377  5.4646735e+03 9.04e+00 7.45e+01  -2.5 1.56e+02  -4.5 2.27e-01 4.56e-01f  1
 378  2.9680878e+03 3.42e+00 1.27e+01  -2.5 3.39e+01  -4.1 6.78e-01 6.27e-01f  1
 379  1.4672105e+03 5.24e-01 1.23e+01  -2.5 1.53e+01  -3.7 9.36e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 380  1.4580799e+03 5.50e-01 2.11e+02  -2.5 4.73e+01  -4.2 1.00e+00 1.45e-01h  1
 381  1.4220636e+03 1.90e+00 1.32e+02  -2.5 1.06e+02  -4.6 2.58e-01 4.10e-01h  1
 382  1.3880912e+03 4.94e-01 1.11e+01  -2.5 2.25e+01  -4.2 1.00e+00 8.77e-01h  1
 383  1.3778940e+03 4.82e-01 3.65e+01  -2.5 1.79e+02  -4.7 1.03e-01 5.15e-02h  1
 384  1.3595533e+03 1.17e+00 2.19e+02  -2.5 2.80e+02  -5.2 6.58e-01 1.04e-01h  1
 385  1.3588279e+03 5.80e-01 1.28e+02  -2.5 6.82e+00  -3.8 2.92e-01 5.07e-01h  1
 386  1.3581222e+03 4.92e-01 1.06e+02  -2.5 4.63e-01  -0.7 1.34e-01 1.52e-01h  1
 387  1.3580976e+03 4.74e-01 1.00e+02  -2.5 5.21e-01  -1.2 2.10e-02 3.54e-02h  1
 388  1.3577351e+03 3.80e-01 8.53e+01  -2.5 9.38e-02   0.2 2.36e-01 1.99e-01f  1
 389  1.3560216e+03 2.54e-05 2.74e+00  -2.5 7.88e-02  -0.3 9.91e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 390  1.3576208e+03 5.59e-06 2.48e-01  -2.5 6.43e-02  -0.8 1.00e+00 1.00e+00h  1
 391  1.3587500e+03 7.26e-06 2.72e-01  -2.5 9.80e-02  -1.3 1.00e+00 1.00e+00h  1
 392  1.3586310e+03 1.61e-05 7.50e-02  -2.5 1.31e-01  -1.8 1.00e+00 1.00e+00h  1
 393  1.3581306e+03 3.12e-05 3.83e-02  -2.5 1.56e-01  -2.2 1.00e+00 1.00e+00h  1
 394  1.3575300e+03 6.93e-05 2.29e-02  -2.5 4.76e-01  -2.7 1.00e+00 1.00e+00h  1
 395  7.2202778e+02 1.07e-03 1.09e+00  -3.8 1.83e+00  -3.2 5.67e-01 5.63e-01f  1
 396  3.8984553e+02 6.07e-03 2.11e+01  -3.8 3.56e+00  -3.7 6.12e-01 6.69e-01f  1
 397  3.2484947e+02 6.89e-03 5.79e+01  -3.8 8.50e+00  -4.1 6.10e-01 3.69e-01f  1
