
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.13.4, running with linear solver ma86.

Number of nonzeros in equality constraint Jacobian...:    41065
Number of nonzeros in inequality constraint Jacobian.:     5776
Number of nonzeros in Lagrangian Hessian.............:    20537

Total number of variables............................:     8982
                     variables with only lower bounds:      998
                variables with lower and upper bounds:     4195
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5878
Total number of inequality constraints...............:     2394
        inequality constraints with only lower bounds:      400
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1994

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  44r 4.5959038e+06 5.75e-01 1.37e+02   0.2 1.14e-01   3.1 8.60e-01 6.64e-01f  1
  45r 4.6022963e+06 5.80e-01 1.29e+02   0.2 3.93e-02   3.5 1.00e+00 1.00e+00f  1
  46r 4.6144660e+06 5.91e-01 1.39e+02   0.2 1.33e-01   3.0 6.26e-01 6.41e-01f  1
  47r 4.6216363e+06 5.96e-01 1.30e+02   0.2 4.47e-02   3.5 1.00e+00 1.00e+00f  1
  48r 4.6289053e+06 6.01e-01 1.36e+02   0.2 1.51e-01   3.0 4.62e-01 3.42e-01f  1
  49r 4.6356972e+06 6.05e-01 1.25e+02   0.2 4.85e-02   3.4 1.00e+00 8.44e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 4.6438039e+06 6.08e-01 1.35e+02   0.2 1.86e-01   2.9 3.62e-01 3.39e-01f  1
  51r 4.6524674e+06 6.10e-01 1.24e+02   0.2 5.39e-02   3.4 1.00e+00 9.56e-01f  1
  52r 4.6587683e+06 6.07e-01 1.33e+02   0.2 2.36e-01   2.9 2.81e-01 2.35e-01f  1
  53r 4.6683152e+06 6.03e-01 1.23e+02   0.2 6.11e-02   3.3 1.00e+00 9.37e-01f  1
  54r 4.6731931e+06 6.01e-01 1.31e+02   0.2 3.61e-01   2.8 1.95e-01 1.63e-01f  1
  55r 4.6832865e+06 5.98e-01 1.28e+02   0.2 7.09e-02   3.3 1.00e+00 8.87e-01f  1
  56r 4.6854279e+06 5.97e-01 1.33e+02   0.2 8.52e-01   2.8 9.56e-02 6.46e-02f  1
  57r 4.6916324e+06 5.94e-01 2.55e+02   0.2 8.26e-02   3.2 1.00e+00 4.88e-01f  1
  58r 4.6964124e+06 5.93e-01 1.15e+02   0.2 2.68e-02   3.6 1.00e+00 1.00e+00f  1
  59r 4.7026524e+06 5.90e-01 1.19e+02   0.2 9.20e-02   3.2 9.36e-01 4.40e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 4.7079885e+06 5.88e-01 1.21e+02   0.2 3.16e-02   3.6 1.00e+00 1.00e+00f  1
  61r 4.7237961e+06 5.83e-01 1.33e+02   0.2 1.04e-01   3.1 7.66e-01 1.00e+00f  1
  62r 4.7297184e+06 5.81e-01 1.29e+02   0.2 3.78e-02   3.5 1.00e+00 1.00e+00f  1
  63r 4.7356606e+06 5.79e-01 1.24e+02   0.2 1.19e-01   3.1 6.16e-01 3.40e-01f  1
  64r 4.7422619e+06 5.77e-01 1.19e+02   0.2 3.93e-02   3.5 1.00e+00 1.00e+00f  1
  65r 4.7507488e+06 5.74e-01 1.24e+02   0.2 1.95e-01   3.0 4.49e-01 4.36e-01f  1
  66r 4.7556913e+06 5.72e-01 2.04e+02   0.2 4.86e-02   3.4 1.00e+00 6.73e-01f  1
  67r 4.7645885e+06 5.70e-01 1.35e+02   0.2 2.63e-01   3.0 2.73e-01 4.12e-01f  1
  68r 4.7705044e+06 5.68e-01 2.24e+02   0.2 6.27e-02   3.4 1.00e+00 7.22e-01f  1
  69r 4.7800728e+06 5.65e-01 1.45e+02   0.2 3.32e-01   2.9 2.00e-01 3.98e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 4.7859151e+06 5.63e-01 2.89e+02   0.2 7.87e-02   3.3 1.00e+00 6.41e-01f  1
