time,qm_f,wm_f,tm_f,qm_b,wm_b,tm_b,ue_f,ur_f,xp_f,vp_f,Fp_f,ue_b,ur_b,xp_b,vp_b,Fp_b,x,y,r,dx,dy,dr,ddx,ddy
0.0,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0015,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.002,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.003,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0035,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.004,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0045000000000000005,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.005,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0055,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.006,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.006500000000000001,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.007,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0075,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.008,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0085,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.009000000000000001,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0095,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0105,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.011,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0115,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.012,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0125,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.013000000000000001,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0135,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.014,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0145,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.015,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0155,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.016,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0165,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.017,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0175,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.018000000000000002,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0185,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.019,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0195,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0205,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.021,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.021500000000000002,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.022,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0225,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.023,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0235,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.024,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0245,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.025,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.025500000000000002,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.026000000000000002,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0265,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.027,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0275,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.028,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0285,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.029,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.029500000000000002,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.03,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0305,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.031,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0315,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.032,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0325,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.033,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0335,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.034,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0345,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.035,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.035500000000000004,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.036000000000000004,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0365,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.037,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0375,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.038,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0385,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.039,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
0.0395,-2.8415926535897933,-0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17351248837129882,0.0,0.0,0.0,0.0,0.0,0.0
